parent_id,child_id,birth_order,adoptive
1.5.2.2.4.5a,1.5.2.2.4.5.1,1,
1.5.2.2.4.5,1.5.2.2.4.5.2,2,
1.5.2.2.4.5a,1.5.2.2.4.5.2,2,
1.5.2.2.4,1.5.2.2.4.6,6,
1.5.2.2.4a,1.5.2.2.4.6,6,
1.5.2.2,1.5.2.2.5,5,
1.5.2.2a,1.5.2.2.5,5,
1.5.2.2.5,1.5.2.2.5.1,1,
1.5.2.2.5a,1.5.2.2.5.1,1,
1.5.2.2.5.1,1.5.2.2.5.1.1,1,
1.5.2.2.5.1a,1.5.2.2.5.1.1,1,
1.5.2.2.5.1,1.5.2.2.5.1.2,2,
1.5.2.2.5.1a,1.5.2.2.5.1.2,2,
1.5.2.2.5.1,1.5.2.2.5.1.3,3,
1.5.2.2.5.1a,1.5.2.2.5.1.3,3,
1.5.2.2.5,1.5.2.2.5.2,2,
1.5.2.2.5a,1.5.2.2.5.2,2,
1.5.2.2.5.2,1.5.2.2.5.2.1,1,
1.5.2.2.5.2a,1.5.2.2.5.2.1,1,
1.5.2.2.5.2,1.5.2.2.5.2.2,2,
1.5.2.2.5.2a,1.5.2.2.5.2.2,2,
1.5.2.2.5,1.5.2.2.5.3,3,
1.5.2.2.5a,1.5.2.2.5.3,3,
1.5.2.2.5.3,1.5.2.2.5.3.1,1,
1.5.2.2.5.3a,1.5.2.2.5.3.1,1,
1.5.2.2,1.5.2.2.6,6,
1.5.2.2a,1.5.2.2.6,6,
1.5.2.2.6,1.5.2.2.6.1,1,
1.5.2.2.6a,1.5.2.2.6.1,1,
1.5.2.2.6,1.5.2.2.6.2,2,
